#  R_hMpc M_hMsun sigma
6.964219482904812075e-01 8.704804787452365625e+13 2.667580466432224018e+00
7.149098791774923800e-01 9.416631646900850000e+13 2.641275333455586960e+00
7.338886096283629978e-01 1.018666744844563281e+14 2.615079012131162006e+00
7.533711689113945509e-01 1.101967217113915625e+14 2.588991428418969676e+00
7.733709321832025196e-01 1.192079503664453281e+14 2.563012900165487107e+00
7.939016296710177389e-01 1.289560633916742344e+14 2.537145834774815700e+00
8.149773560987564336e-01 1.395013187824959844e+14 2.511385281131085723e+00
8.366125803633261970e-01 1.509089020727044062e+14 2.485732348940856262e+00
8.588221554678001635e-01 1.632493292790763438e+14 2.460192368401632912e+00
8.816213287182956826e-01 1.765988827963819688e+14 2.434765836162962493e+00
9.050257521915497927e-01 1.910400829372817500e+14 2.409449379030580207e+00
9.290514934803696390e-01 2.066621980319299688e+14 2.384248633390487093e+00
9.537150467243505902e-01 2.235617962404775312e+14 2.359163980075286382e+00
9.790333439334273358e-01 2.418433424895001250e+14 2.334193612408558938e+00
1.005023766612023417e+00 2.616198442223105938e+14 2.309338105936423968e+00
1.031704157691794688e+00 2.830135499548738750e+14 2.284598813369235870e+00
1.059092833781153820e+00 3.061567049554479375e+14 2.259976202629337294e+00
1.087208597739971472e+00 3.311923687191746875e+14 2.235471147033654571e+00
1.116070751588110310e+00 3.582752992908625625e+14 2.211084683787970295e+00
1.145699109756640466e+00 3.875729099023953125e+14 2.186818756883443626e+00
1.176114012690826049e+00 4.192663038382150625e+14 2.162674361701475423e+00
1.207336340814241682e+00 4.535513939259254375e+14 2.138652168700094780e+00
1.239387528863587828e+00 4.906401135721308125e+14 2.114752749879365457e+00
1.272289580604060166e+00 5.307617268295510625e+14 2.090976194272531785e+00
1.306065083935356030e+00 5.741642455935718750e+14 2.067321814734071506e+00
1.340737226398710957e+00 6.211159626886646250e+14 2.043792070189375476e+00
1.376329811095601929e+00 6.719071103214418750e+14 2.020387789657386080e+00
1.412867273029032811e+00 7.268516541520691250e+14 1.997110739479592834e+00
1.450374695878642539e+00 7.862892340741131250e+14 1.973961779134909555e+00
1.488877829221146198e+00 8.505872636997661250e+14 1.950941705692450068e+00
1.528403106207911977e+00 9.201432015283846250e+14 1.928052157915790987e+00
1.568977661711837834e+00 9.953870078376241250e+14 1.905293375768647657e+00
1.610629350955977479e+00 1.076783802484441625e+15 1.882665105027564012e+00
1.653386768636682325e+00 1.164836740045128750e+15 1.860169361365535234e+00
1.697279268554423570e+00 1.260090120067127750e+15 1.837803929117340695e+00
1.742336983765752745e+00 1.363132751658637250e+15 1.815573226221245395e+00
1.788590847270223216e+00 1.474601593214191250e+15 1.793477621644829156e+00
1.836072613246500840e+00 1.595185689775255000e+15 1.771518846945600245e+00
1.884814878852232756e+00 1.725630432364621000e+15 1.749697646356596303e+00
1.934851106602620163e+00 1.866742165623646000e+15 1.728014274626674673e+00
1.986215647343092527e+00 2.019393172234537750e+15 1.706469863331678161e+00
2.038943763831838396e+00 2.184527064938884750e+15 1.685063792428453056e+00
2.093071654948364557e+00 2.363164619483149000e+15 1.663796728647160217e+00
2.148636480544737104e+00 2.556410084547592000e+15 1.642669430280303544e+00
2.205676386956551660e+00 2.765458007663459000e+15 1.621683663720487445e+00
2.264230533191123218e+00 2.991600619312756000e+15 1.600836699746547742e+00
2.324339117810914956e+00 3.236235820855606000e+15 1.580140589443316923e+00
2.386043406530632183e+00 3.500875825662479500e+15 1.559584993291944111e+00
2.449385760546947566e+00 3.787156506866568500e+15 1.539173755234379160e+00
2.514409665620275458e+00 4.096847509519342500e+15 1.518906530297355451e+00
2.581159761928598417e+00 4.431863189657752000e+15 1.498783124598620731e+00
2.649681874713829544e+00 4.794274447902953000e+15 1.478803828319201541e+00
2.720023045741718715e+00 5.186321530739803000e+15 1.458969151099610340e+00
2.792231565596946297e+00 5.610427878608514000e+15 1.439275629037472193e+00
2.866357006835561716e+00 6.069215106410437000e+15 1.419736807575253890e+00
